AVATAR,SELLER,SNAPSHOT,COMMENT,WALLPOST,LOVE,IN_DEGREE,OUT_DEGREE,AVG_SUB_COM_MAR,AVG_POL_COM_MAR,STD_SUB_COM_MAR,STD_POL_COM_MAR,AVG_SUB_REV_MAR,AVG_POL_REV_MAR,STD_SUB_REV_MAR,STD_POL_REV_MAR,AVG_SUB_COM_SOC,AVG_POL_COM_SOC,STD_SUB_COM_SOC,STD_POL_COM_SOC,AVG_SUB_STA_SOC,AVG_POL_STA_SOC,STD_SUB_STA_SOC,STD_POL_STA_SOC
darksilver,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
erin.foxglove,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thetra.blackheart,1,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
mikal.gloom,1,1,0,4,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.125,0.5,0.125
jhonatan.woodget,1,0,1,3,2,0,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nickorari,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceci.dover,1,62,3,1,0,9,1,0,0,0,0,0,0,0,0,0.666666666667,0.616666666667,0.471404520791,0.440328160454,0.0,0.0,0.0,0.0
stronghighscoolboy,1,0,7,2,0,0,9,0,0,0,0,0,0,0,0,0.442857142857,0.446428571429,0.324509048331,0.32635119433,0.5,-0.25,0.0,0.0
elizabethsnow,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sebastianno2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,0.0,0.0
bigmoe.whitfield,1,0,4,4,0,2,7,0,0,0,0,0,0,0,0,1.0,0.5,0.0,0.0,0.25,0.1875,0.433012701892,0.324759526419
dusty.bodenhall,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
derric.foggarty,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
virgo.diavolo,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lynnie.michigan,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.375,0.45,0.375
nexeus.fatale,1,0,4,10,0,0,2,0,0,0,0,0,0,0,0,0.6125,0.396875,0.235518046018,0.0920151991521,0.273888888889,0.0620833333333,0.333925862253,0.21115135764
quinn.cypress,1,0,5,1,0,0,5,0,0,0,0,0,0,0,0,0.24,0.28,0.293938769134,0.34292856399,0.0,0.0,0.0,0.0
mandi.vendetta,1,1,9,3,3,0,10,0,0,0,0,0,0,0,0,0.636026936027,0.328956228956,0.216404302757,0.10952132739,0.2,0.166666666667,0.282842712475,0.235702260396
balthazar.lindman,1,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.434722222222,0.321455025366,0.33403283087
markphoto,1,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2375,0.25,0.2375,0.25
jordy.parkin,1,77,171,42,129,0,291,0,0,0,0,0,0,0,0,0.441207653021,0.227401492347,0.340566818587,0.323314450894,0.238205868206,0.076853956229,0.336829998225,0.264967598978
kobuk.farshore,1,9,25,6,39,0,58,0,0,0,0,0,0,0,0,0.671111111111,0.2618,0.347759814943,0.403783748504,0.566111111111,0.487543402778,0.418817412116,0.408628193221
aura.petrov,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
kenya.markova,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0.0,0.0
scorpio.severine,1,2,1,8,0,0,9,0,0,0,0,0,0,0,0,1.0,0.5,0.0,0.0,0.3,0.25,0.308220700148,0.25
cryoutdesiree.serenity,1,0,13,9,9,0,18,0,0,0,0,0,0,0,0,0.191025641026,0.1,0.313487099792,0.163201150071,0.343121693122,0.210052910053,0.315151214159,0.390912338329
thrilla.wilber,1,16,4,15,18,2,13,0,0,0,0,0,0,0,0,0.325,0.175,0.325,0.175,0.00222222222222,0.0,0.00831479419283,0.0
serath.arandur,1,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
brangeline.zoilin,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
billblowinmoneyfast,1,8,1,0,4,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
